"","WARD_Name","injunctions_n"
"1783","Cranborne & Alderholt",1
"1784","Cranborne Chase",1
"1785","Cranbrook",5
"1786","Cranbrook, Sissinghurst & Frittenden",1
"1787","Cranfield & Marston Moretaine",1
"1788","Cranford",1
"1789","Cranham",2
"1790","Cranleigh East",1
"1791","Cranleigh West",1
"1792","Cranmer",1
"1793","Cranwell, Leasingham & Wilsford",1
"1794","Craven",1
"1795","Craven Arms",1
"1796","Crawcrook and Greenside",1
"1797","Crawley Down",1
"1798","Crayford",1
"1799","Credenhill",1
"1800","Crediton Boniface",1
"1801","Crediton Lawrence",1
"1802","Creekmoor",1
"1803","Crewe Central",1
"1804","Crewe East",1
"1805","Crewe North",1
"1806","Crewe South",1
"1807","Crewe St Barnabas",1
"1808","Crewe West",1
"1809","Crewkerne",1
"1810","Criccieth",1
"1811","Crich & South Wingfield",1
"1812","Cricket Green",1
"1813","Crickhowell with Cwmdu and Tretower",1
"1814","Cricklade & Latton",1
"1815","Cricklewood",4
"1816","Cricklewood & Mapesbury",1
"1817","Crigyll",1
"1818","Cringleford",1
"1819","Cripplegate",1
"1820","Crockenhill and Well Hill",1
"1821","Croesonen",1
"1822","Croesyceiliog",1
"1823","Croft",1
"1824","Croft Baker",1
"1825","Crofton Park",1
"1826","Crofton, Ryhill and Walton",1
"1827","Crome",1
"1828","Cromer Town",1
"1829","Cromford & Matlock Bath",1
"1830","Crompton",1
"1831","Crook",1
"1832","Crook Log",1
"1833","Crookes and Crosspool",1
"1834","Crookham East",1
"1835","Crookham West and Ewshot",1
"1836","Cropredy, Sibfords and Wroxton",1
"1837","Cropwell",1
"1838","Crosby & Park",1
"1839","Crosland Moor and Netherton",1
"1840","Cross Gates & Whinmoor",1
"1841","Cross Heath",1
"1842","Crosskeys",1
"1843","Crossways",1
"1844","Croston, Mawdesley & Euxton South",1
"1845","Crouch End",1
"1846","Crowan, Sithney & Wendron",1
"1847","Crowborough Central",1
"1848","Crowborough Jarvis Brook",1
"1849","Crowborough North",1
"1850","Crowborough South East",1
"1851","Crowborough South West",1
"1852","Crowborough St Johns",1
"1853","Crowland and Deeping St Nicholas",1
"1854","Crown",1
"1855","Crowthorne",1
"1856","Croxteth",1
"1857","Croxteth Country Park",1
"1858","Croxton Kerrial",1
"1859","Croyland & Swanspool",1
"1860","Crucorney",1
"1861","Crumlin",1
"1862","Crumpsall",1
"1863","Crymych and Mynachlog-ddu",1
"1864","Crynant, Onllwyn and Seven Sisters",1
"1865","Crystal Palace & Anerley",1
"1866","Crystal Palace & Upper Norwood",1
"1867","Cubbington & Leek Wootton",1
"1868","Cuckfield, Bolney & Ansty",1
"1869","Cuddington",1
"1870","Cudworth",1
"1871","Culcheth, Glazebury and Croft",1
"1872","Cullercoats & Whitley Bay South",1
"1873","Cullompton Padbrook",1
"1874","Cullompton St Andrews",1
"1875","Cullompton Vale",1
"1876","Culverden",1
"1877","Cumnor",1
"1878","Cunningham",1
"1879","Curborough",1
"1880","Curdworth",1
"1881","Currock",1
"1882","Curry Rivel & Langport",1
"1883","Custom House",1
"1884","Cutteslowe & Sunnymead",1
"1885","Cuxton, Halling & Riverside",1
"1886","Cwarter Bach",1
"1887","Cwm",1
"1888","Cwm Clydach",1
"1889","Cwm-twrch",1
"1890","Cwm-y-glo",1
"1891","Cwmbach",1
"1892","Cwmbwrla",1
"1893","Cwmllynfell and Ystalyfera",1
"1894","Cwmtillery",1
"1895","Cyfarthfa",1
"1896","Cymer",1
"1897","Cymer and Glyncorrwg",1
"1898","Cyncoed",1
"1899","Cynwyl Elfed",1
"1900","Dafen and Felinfoel",1
"1901","Dale",1
"1902","Daleacre Hill",1
"1903","Dales",1
"1904","Dalgarno",1
"1905","Dallington Spencer",1
"1906","Dallow",1
"1907","Dalston",1
"1908","Dalston and Burgh",1
"1909","Dalton",1
"1910","Dalton & Dawdon",1
"1911","Dalton & Thrybergh",1
"1912","Dalton North",1
"1913","Dalton South",1
"1914","Danby & Mulgrave",1
"1915","Dane",1
"1916","Dane Valley",1
"1917","Danehill & Fletching",1
"1918","Danesborough & Walton",1
"1919","Daneshouse with Stoneyholme",1
"1920","Darenth",1
"1921","Daresbury, Moore & Sandymoor",1
"1922","Darfield",1
"1923","Darlaston South",1
"1924","Darley",1
"1925","Darley Dale",1
"1926","Darnall",1
"1927","Darran Valley",1
"1928","Dartington & Staverton",1
"1929","Dartmoor",1
"1930","Dartmouth & East Dart",1
"1931","Darton East",1
"1932","Darton West",1
"1933","Darwen East",1
"1934","Darwen South",1
"1935","Darwen West",1
"1936","Darwin",1
"1937","Datchet, Horton & Wraysbury",1
"1938","Davenham, Moulton & Kingsmead",1
"1939","Davenport & Cale Green",1
"1940","Daventry North East",1
"1941","Daventry North West",1
"1942","Daventry South",1
"1943","Davyhulme",1
"1944","Dawley & Aqueduct",1
"1945","Dawlish North East",1
"1946","Dawlish South West",1
"1947","Daybrook",1
"1948","De Beauvoir",1
"1949","De Bruce",1
"1950","De Dolgellau",1
"1951","De Parys",1
"1952","De Pwllheli",1
"1953","Deansgate",1
"1954","Deanshanger & Paulerspury",1
"1955","Dearham and Broughton",1
"1956","Dearne North",1
"1957","Dearne South",1
"1958","Debden & Wimbish",1
"1959","Deben",1
"1960","Debenham",1
"1961","Deckham",1
"1962","Deddington",1
"1963","Deepdale",1
"1964","Deeping St James",1
"1965","Deerness",1
"1966","Deganwy",1
"1967","Deiniolen",1
"1968","Delves Lane",1
"1969","Denbigh Caledfryn Henllan",1
"1970","Denbigh Lower",1
"1971","Denby Dale",1
"1972","Dene & South Gosforth",1
"1973","Denmead",1
"1974","Denne",1
"1975","Denton",1
"1976","Denton & Westerhope",1
"1977","Denton Holme",1
"1978","Denton North East",1
"1979","Denton South",1
"1980","Denton West",1
"1981","Denver",1
"1982","Deptford",1
"1983","Derby",1
"1984","Derby & Thornley",1
"1985","Derby Road East",1
"1986","Derby Road West",1
"1987","Dereham Neatherd",1
"1988","Dereham Toftwood",1
"1989","Dereham Withburga",1
"1990","Derringham",1
"1991","Dersingham",1
"1992","Derwent & Pont Valley",1
"1993","Derwent Valley & Moor",1
"1994","Desborough",1
"1995","Devauden",1
"1996","Devizes East",1
"1997","Devizes North",1
"1998","Devizes Rural West",1
"1999","Devizes South",1
"2000","Devon",1
"2001","Devonport",1
"2002","Devonshire",1
"2003","Dewi",1
"2004","Dewsbury East",1
"2005","Dewsbury South",1
"2006","Dewsbury West",1
"2007","Dewstow",1
"2008","Dibden & Dibden Purlieu",1
"2009","Dickinsons",1
"2010","Didcot North East",1
"2011","Didcot South",1
"2012","Didcot West",1
"2013","Didsbury East",1
"2014","Didsbury West",1
"2015","Diffwys a Maenofferen",1
"2016","Dilworth",1
"2017","Dinas Powys",1
"2018","Dinedor Hill",1
"2019","Dines Green & Grove Farm",1
"2020","Dingle",1
"2021","Dinnington",1
"2022","Dinting",1
"2023","Dishley, Hathern & Thorpe Acre",1
"2024","Disley",1
"2025","Disraeli",1
"2026","Diss & Roydon",1
"2027","Disserth and Trecoed with Newbridge",1
"2028","Ditchingham & Earsham",1
"2029","Ditchling & Westmeston",1
"2030","Ditton, Hale Village & Halebank",1
"2031","Dodderhill",1
"2032","Doddington & Wimblington",1
"2033","Dodington",1
"2034","Dodworth",1
"2035","Dogsthorpe",1
"2036","Dolbenmaen",1
"2037","Dole Wood",1
"2038","Dolforwyn",1
"2039","Dollis Hill",4
"2040","Donington, Quadring and Gosberton",1
"2041","Donnington",1
"2042","Dorchester East",1
"2043","Dorchester Poundbury",1
"2044","Dorchester West",1
"2045","Dordon",1
"2046","Dore and Totley",1
"2047","Dorking North",1
"2048","Dorking South",1
"2049","Dormansland & Felbridge",1
"2050","Dormanstown",1
"2051","Dormers Wells",1
"2052","Dorridge and Hockley Heath",1
"2053","Douglas",1
"2054","Dove",1
"2055","Dovedale, Parwich & Brassington",1
"2056","Dover Beck",1
"2057","Dover Downs & River",1
"2058","Dovercourt All Saints",1
"2059","Dovercourt Bay",1
"2060","Dovercourt Tollgate",1
"2061","Dovercourt Vines & Parkeston",1
"2062","Doveridge & Sudbury",1
"2063","Dowgate",1
"2064","Dowlais and Pant",1
"2065","Downhall and Rawreth",1
"2066","Downham",1
"2067","Downham Old Town",1
"2068","Downham Villages",1
"2069","Downland Villages",1
"2070","Downlands",1
"2071","Downlands & Forest North",1
"2072","Downley",1
"2073","Downs North",1
"2074","Downs West",1
"2075","Downton & Ebble Valley",1
"2076","Doxey & Castletown",1
"2077","Doxford",1
"2078","Drake",1
"2079","Drakes Broughton, Norton & Whittington",1
"2080","Drakes Cross",1
"2081","Draycott & Risley",1
"2082","Drayton",1
"2083","Drayton North",1
"2084","Drayton South",1
"2085","Drayton and Farlington",1
"2086","Dresden & Florence",1
"2087","Drewsteignton",1
"2088","Driffield and Rural",1
"2089","Dringhouses & Woodthorpe",1
"2090","Droitwich East",1
"2091","Droitwich South East",1
"2092","Droitwich South West",1
"2093","Droitwich West",1
"2094","Dronfield North",1
"2095","Dronfield South",1
"2096","Dronfield Woodhouse",1
"2097","Droylsden East",1
"2098","Droylsden West",1
"2099","Druids Heath & Monyhull",1
"2100","Druridge Bay",1
"2101","Drybridge",1
"2102","Drypool",1
"2103","Ducklington",1
"2104","Duffield & Quarndon",1
"2105","Duke's",1
"2106","Dukinfield",1
"2107","Dukinfield Stalybridge",1
"2108","Dulverton & Exmoor",1
"2109","Dulwich Hill",1
"2110","Dulwich Village",1
"2111","Dulwich Wood",1
"2112","Dumbles",1
"2113","Dunholme and Welton",1
"2114","Dunkeswell & Otterhead",1
"2115","Dunsmore",1
"2116","Dunstable Central",1
"2117","Dunstable East",1
"2118","Dunstable North",1
"2119","Dunstable South",1
"2120","Dunstable West",1
"2121","Dunster",1
"2122","Dunston",1
"2123","Dunston Hill and Whickham East",1
"2124","Dunston and Teams",1
"2125","Dunton",1
"2126","Dunton Green and Riverhead",1
"2127","Dunvant and Killay",1
"2128","Durrants",1
"2129","Durrington",1
"2130","Dursley",1
"2131","Duryard and St James",1
"2132","Duston",1
"2133","Duxford",1
"2134","Dwyrain Bangor",1
"2135","Dwyrain Porthmadog",1
"2136","Dyfan",1
"2137","Dyffryn",1
"2138","Dyffryn Ardudwy",1
"2139","Dyffryn Ceiriog",1
"2140","Dymock",1
"2141","Dyserth",1
"2142","Eaglescliffe East",1
"2143","Eaglescliffe West",1
"2144","Eakring",1
"2145","Ealing Broadway",1
"2146","Ealing Common",1
"2147","Eamont and Shap",1
"2148","Earby & Coates",1
"2149","Earl Shilton",1
"2150","Earl's Court",1
"2151","Earls Barton",1
"2152","Earlsdon",1
"2153","Earlswood & Whitebushes",1
"2154","Earnshaw Bridge",1
"2155","Easebourne",1
"2156","Easington & Shotton",1
"2157","Easingwold",1
"2158","East",1
"2159","East Acton",3
"2160","East Barnet",1
"2161","East Bergholt",1
"2162","East Bridgford",1
"2163","East Chesterton",1
"2164","East Cliff & Springbourne",1
"2165","East Cowes",1
"2166","East Downham",1
"2167","East Downs",1
"2168","East Ecclesfield",1
"2169","East Finchley",1
"2170","East Flegg",1
"2171","East Folkestone",1
"2172","East Greenwich",3
"2173","East Grinstead Ashplats",1
"2174","East Grinstead Baldwins",1
"2175","East Grinstead Herontye",1
"2176","East Grinstead Imberhorne",1
"2177","East Grinstead Town",1
"2178","East Ham",1
"2179","East Ham South",2
"2180","East Malling, West Malling & Offham",1
"2181","East Markham",1
"2182","East Marsh",1
"2183","East Middleton",1
"2184","East Park",1
"2185","East Preston",1
"2186","East Putney",2
"2187","East Retford East",1
"2188","East Retford North",1
"2189","East Retford South",1
"2190","East Retford West",1
"2191","East Saltdean & Telscombe Cliffs",1
"2192","East Sheen",1
"2193","East Southbourne & Tuckton",1
"2194","East Tilbury",1
"2195","East Whalley, Read & Simonstone",1
"2196","East Wickham",1
"2197","East Williamston",1
"2198","East Wolds and Coastal",1
"2199","East and West Peckham, Mereworth & Wateringbury",1
"2200","Eastboro",1
"2201","Eastbourne",1
"2202","Eastbrook",1
"2203","Eastbrook & Rush Green",1
"2204","Eastbury",2
"2205","Eastcliff",1
"2206","Eastcote",1
"2207","Eastcott",1
"2208","Eastern Felixstowe",1
"2209","Eastern Rother",1
"2210","Eastfield",1
"2211","Eastgate",1
"2212","Eastham",1
"2213","Easthampstead & Wildridings",1
"2214","Eastlands",1
"2215","Eastleigh Central",1
"2216","Eastleigh North",1
"2217","Eastleigh South",1
"2218","Eastney and Craneswater",1
"2219","Easton",1
"2220","Eastrop & Grove",1
"2221","Eastry Rural",1
"2222","Eastville",1
"2223","Eastwood Hall",1
"2224","Eastwood Hilltop",1
"2225","Eastwood Park",1
"2226","Eastwood St Mary's",1
"2227","Eaton",1
"2228","Eaton Bray",1
"2229","Ebbsfleet",1
"2230","Ebbw Vale North",1
"2231","Ebbw Vale South",1
"2232","Eccles",1
"2233","Ecclesall",1
"2234","Eccleshall",1
"2235","Eccleshill",1
"2236","Eccleston",1
"2237","Eccleston, Heskin & Charnock Richard",1
"2238","Eckington",1
"2239","Eckington North",1
"2240","Eckington South & Renishaw",1
"2241","Edeirnion",1
"2242","Eden and Lyvennet Vale",1
"2243","Edenbridge North and East",1
"2244","Edenbridge South and West",1
"2245","Edenthorpe & Kirk Sandall",1
"2246","Edgbaston",1
"2247","Edge Hill",1
"2248","Edgeley",1
"2249","Edgmond",1
"2250","Edgware",2
"2251","Edgwarebury",3
"2252","Edisford & Low Moor",1
"2253","Edlington & Warmsworth",1
"2254","Edmonton Green",1
"2255","Edwalton",1
"2256","Edwinstowe & Clipstone",1
"2257","Efailnewydd a Buan",1
"2258","Efenechdyd",1
"2259","Effingham",1
"2260","Efford and Lipson",1
"2261","Eggardon",1
"2262","Eggbuckland",1
"2263","Egham Hythe",1
"2264","Egham Town",1
"2265","Eglwys-bach a Llangernyw",1
"2266","Egremont",1
"2267","Egremont North and St Bees",1
"2268","Eign Hill",1
"2269","Eirias",1
"2270","Ellacombe",1
"2271","Elland",1
"2272","Ellel",1
"2273","Ellesmere Urban",1
"2274","Elli",1
"2275","Elliman",1
"2276","Ellistown & Battleflat",1
"2277","Elm & Christchurch",1
"2278","Elm Park",1
"2279","Elmbridge",1
"2280","Elmdon",1
"2281","Elmswell & Woolpit",1
"2282","Elmton-with-Creswell",1
"2283","Elsenham & Henham",1
"2284","Elson",1
"2285","Elstead & Peper Harow",1
"2286","Elstree",1
"2287","Elswick",1
"2288","Eltham Page",3
"2289","Eltham Park & Progress",1
"2290","Eltham Town & Avery Hill",2
"2291","Elton",1
"2292","Elvet, Gilesgate & Shincliffe",1
"2293","Ely",1
"2294","Ely East",1
"2295","Ely North",1
"2296","Ely West",1
"2297","Emerson Park",1
"2298","Emersons Green",1
"2299","Emmbrook",1
"2300","Emmer Green",1
"2301","Emneth & Outwell",1
"2302","Empress",2
"2303","Emsworth",1
"2304","Enderby",1
"2305","Endlebury",1
"2306","Enfield Lock",1
"2307","Englefield Green East",1
"2308","Englefield Green West",1
"2309","Epping East",2
"2310","Epping West & Rural",1
"2311","Ercall",1
"2312","Ercall Magna",1
"2313","Erddig",1
"2314","Erdington",1
"2315","Erith",1
"2316","Ermin",1
"2317","Ermine",1
"2318","Ermington & Ugborough",1
"2319","Ernehale",1
"2320","Erpingham",1
"2321","Esclusham",1
"2322","Esher",1
"2323","Esk Valley & Coast",1
"2324","Essington",1
"2325","Eston",1
"2326","Etching Hill & the Heath",1
"2327","Ethandune",1
"2328","Eton & Castle",1
"2329","Etruria & Hanley",1
"2330","Ettingshall North",1
"2331","Ettingshall South & Spring Vale",1
"2332","Etwall",1
"2333","Euxton",1
"2334","Evelyn",1
"2335","Evendons",1
"2336","Evenwood",1
"2337","Everton",1
"2338","Everton East",1
"2339","Everton North",1
"2340","Everton West",1
"2341","Evesham North",1
"2342","Evesham South",1
"2343","Evingar",1
"2344","Evington",1
"2345","Ewell Court",1
"2346","Ewell Village",1
"2347","Ewhurst & Ellens Green",1
"2348","Ewood",1
"2349","Exbourne",1
"2350","Exe Valley",1
"2351","Exhall",1
"2352","Exmouth Brixington",1
"2353","Exmouth Halsdon",1
"2354","Exmouth Littleham",1
"2355","Exmouth Town",1
"2356","Exmouth Withycombe Raleigh",1
"2357","Exning",1
"2358","Exton",1
"2359","Exwick",1
"2360","Eye",1
"2361","Eye, Thorney and Newborough",1
"2362","Eynesford",1
"2363","Eynsford",1
"2364","Eynsham and Cassington",1
"2365","Eyres Monsell",1
"2366","Faenor",1
"2367","Failsworth East",1
"2368","Failsworth West",1
"2369","Fair Oak & Horton Heath",1
"2370","Fairfax & Starbeck",1
"2371","Fairfield",1
"2372","Fairfield and Howley",1
"2373","Fairford North",1
"2374","Fairlee & Whippingham",1
"2375","Fairlop",1
"2376","Fairstead",1
"2377","Fairwater",1
"2378","Fairwood",1
"2379","Falconbrook",1
"2380","Falconwood & Welling",2
"2381","Fallings Park",1
"2382","Fallowfield",1
"2383","Falmouth Arwenack",1
"2384","Falmouth Boslowick",1
"2385","Falmouth Penwerris",1
"2386","Falmouth Trescobeas & Budock",1
"2387","Falsgrave & Stepney",1
"2388","Fant & Oakwood",1
"2389","Far Cotton, Delapre & Briar Hill",1
"2390","Faraday",1
"2391","Fareham Park",1
"2392","Fareham Town",1
"2393","Faringdon",1
"2394","Farington East",1
"2395","Farington West",1
"2396","Farley",1
"2397","Farnborough & Crofton",1
"2398","Farndon",1
"2399","Farndon & Fernwood",1
"2400","Farnham",1
"2401","Farnham Bourne",1
"2402","Farnham Castle",1
"2403","Farnham Firgrove",1
"2404","Farnham Heath End",1
"2405","Farnham Moor Park",1
"2406","Farnham North West",1
"2407","Farnham Rowledge",1
"2408","Farnham Weybourne",1
"2409","Farnhams & Stoke Poges",2
"2410","Farningham, Horton Kirby and South Darenth",1
"2411","Farnley & Wortley",1
"2412","Farnsfield",1
"2413","Farnworth",1
"2414","Farnworth North",1
"2415","Farnworth South",1
"2416","Farringdon Within",1
"2417","Farringdon Without",1
"2418","Fawdon & West Gosforth",1
"2419","Fawkham and West Kingsdown",1
"2420","Fawley, Blackfield, Calshot & Langley",2
"2421","Fazakerley East",1
"2422","Fazakerley North",1
"2423","Fazakerley West",1
"2424","Fazeley",1
"2425","Featherstone",1
"2426","Featherstone, Sharehill & Saredon",1
"2427","Fellgate and Hedworth",1
"2428","Felling",1
"2429","Felpham East",1
"2430","Felpham West",1
"2431","Felsted & Stebbing",1
"2432","Feltham North",1
"2433","Feltham West",1
"2434","Feltwell",1
"2435","Fen Ditton & Fulbourn",1
"2436","Fence & Higham",1
"2437","Feniton",1
"2438","Fens & Greatham",1
"2439","Fenside",1
"2440","Fenstanton",1
"2441","Fenton East",1
"2442","Fenton West & Mount Pleasant",1
"2443","Feock & Kea",1
"2444","Ferndale and Maerdy",1
"2445","Ferndown North",1
"2446","Ferndown South",1
"2447","Fernhill",1
"2448","Fernhurst",1
"2449","Ferring",1
"2450","Ferry",1
"2451","Ferryhill",1
"2452","Festival Gardens",1
"2453","Fetcham",1
"2454","Figge's Marsh",1
"2455","Filey",1
"2456","Fillongley",1
"2457","Filton",1
"2458","Filwood",1
"2459","Finchampstead",1
"2460","Finchley Church End",1
"2461","Finedon",1
"2462","Finningley",1
"2463","Finsbury Park",1
"2464","Firth Park",1
"2465","Fishergate",1
"2466","Fishguard: North East",1
"2467","Fishguard: North West",1
"2468","Fishtoft",1
"2469","Fishwick & Frenchwood",1
"2470","Fittleworth",1
"2471","Five Village",1
"2472","Flackwell Heath & The Wooburns",2
"2473","Fladbury",1
"2474","Flamstead End",1
"2475","Fleckney",1
"2476","Fleet",1
"2477","Fleet Central",1
"2478","Fleet East",1
"2479","Fleet West",1
"2480","Fleggburgh",1
"2481","Fletton and Stanground",1
"2482","Fletton and Woodston",1
"2483","Flint: Castle",1
"2484","Flint: Coleshill and Trelawny",1
"2485","Flint: Oakenholt",1
"2486","Flitch Green & Little Dunmow",1
"2487","Flitwick",1
"2488","Flixton",1
"2489","Foggy Furze",1
"2490","Foleshill",1
"2491","Foley Park & Hoobrook",1
"2492","Folkestone Central",1
"2493","Folkestone Harbour",1
"2494","Ford",1
"2495","Ford Green & Smallthorne",1
"2496","Forden and Montgomery",1
"2497","Fordham & Isleham",1
"2498","Fordingbridge, Godshill & Hyde",1
"2499","Forebridge",1
"2500","Forest",2
"2501","Forest & Solent",1
"2502","Forest Bradgate",1
"2503","Forest Gate North",1
"2504","Forest Gate South",1
"2505","Forest Hall",1
"2506","Forest Hill",1
"2507","Forest Hill & Holton",1
"2508","Forest Row",1
"2509","Forncett",1
"2510","Forsbrook",1
"2511","Fort Fareham",1
"2512","Fort Horsted",1
"2513","Fort Pitt",1
"2514","Fort Royal",1
"2515","Fortis Green",1
"2516","Forton",1
"2517","Fortune Green",1
"2518","Fosse",1
"2519","Fosse Highcross",1
"2520","Fosse Normanton",1
"2521","Fosse Stoney Cove",1
"2522","Fosseridge",1
"2523","Foulness and The Wakerings",1
"2524","Four Acres",1
"2525","Four Lanes, Beacon & Troon",1
"2526","Four Marks & Medstead",1
"2527","Fovant & Chalke Valley",1
"2528","Fowey, Tywardreath & Par",1
"2529","Foxton",1
"2530","Framfield & Cross-in-Hand",1
"2531","Framlingham",1
"2532","Frampton Cotterell",1
"2533","Framwellgate & Newton Hall",1
"2534","Franche & Habberley North",1
"2535","Frankley Great Park",1
"2536","Frant & Wadhurst",1
"2537","Fratton",1
"2538","Freckleton Village",1
"2539","Freeland and Hanborough",1
"2540","Freemantle",1
"2541","Fremington",1
"2542","Frenchay & Downend",1
"2543","Freshney",1
"2544","Freshwater North & Yarmouth",1
"2545","Freshwater South",1
"2546","Fressingfield",1
"2547","Friar Park",1
"2548","Friern Barnet",1
"2549","Frimley",2
"2550","Frimley Green",1
"2551","Fringford and Heyfords",1
"2552","Frinton",1
"2553","Frisby-on-the-Wreake",1
"2554","Friskney",1
"2555","Frodingham",1
"2556","Frodsham",1
"2557","Frognal",1
"2558","Frome East",1
"2559","Frome North",1
"2560","Frome Vale",1
"2561","Frome West",1
"2562","Froxfield, Sheet & Steep",1
"2563","Fryerns",1
"2564","Fulford",1
"2565","Fulford & Heslington",1
"2566","Fulham Reach",1
"2567","Fulham Town",1
"2568","Fullwell",2
"2569","Fulstow",1
"2570","Fulwell",1
"2571","Fulwell & Hampton Hill",1
"2572","Fulwood",1
"2573","Furley",1
"2574","Furnace Green",1
"2575","Furze Platt",1
"2576","Furzedown",1
"2577","Furzeham with Summercombe",1
"2578","Gabalfa",1
"2579","Gaddesby",1
"2580","Gade Valley",2
"2581","Gadebridge",1
"2582","Gaer",1
"2583","Gainsborough",1
"2584","Gainsborough East",1
"2585","Gainsborough North",1
"2586","Gainsborough South-West",1
"2587","Gaisford",1
"2588","Galley Common",1
"2589","Galleywood",1
"2590","Gamesley",1
"2591","Gamlingay",1
"2592","Gamston",1
"2593","Ganges",1
"2594","Gannow",1
"2595","Garden Suburb",1
"2596","Garden Village",1
"2597","Garforth & Swillington",1
"2598","Garlinge",1
"2599","Garnant",1
"2600","Garretts Green",1
"2601","Garrison",1
"2602","Garsington & Horspath",1
"2603","Garstang",1
"2604","Garston",1
"2605","Garw Valley",1
"2606","Gascoigne",1
"2607","Gateacre",1
"2608","Gawsworth",1
"2609","Gawthorpe",1
"2610","Gaydon, Kineton & Upper Lighthorne",1
"2611","Gayton & Grimston",1
"2612","Gaywood Chase",1
"2613","Gaywood Clock",1
"2614","Gaywood North Bank",1
"2615","Geddington & Stanion",1
"2616","Gedling",1
"2617","Gedney",1
"2618","Gele and Llanddulas",1
"2619","Gensing",1
"2620","Georgetown",1
"2621","Gerlan",1
"2622","Gerrards Cross & Denham",4
"2623","Gibbonsdown",1
"2624","Gilfach",1
"2625","Gilfach-goch",1
"2626","Gillingham",1
"2627","Gillingham North",1
"2628","Gillingham South",1
"2629","Gipping",1
"2630","Gipsy Hill",1
"2631","Gipton & Harehills",1
"2632","Girton",1
"2633","Gisburn & Rimington",1
"2634","Gislingham",1
"2635","Glanamman",1
"2636","Glantwymyn",1
"2637","Glanymor",1
"2638","Glasbury",1
"2639","Glascote",1
"2640","Glaslyn",1
"2641","Glastonbury",1
"2642","Gleadless Valley",1
"2643","Glebe",1
"2644","Glebe Farm & Tile Cross",1
"2645","Glen",1
"2646","Glen Parva",1
"2647","Glenfield Ellis",1
"2648","Glenfield Faire",1
"2649","Glinton and Castor",1
"2650","Gloweth, Malabar & Shortlanesend",1
"2651","Glusburn, Cross Hills & Sutton-in-Craven",1
"2652","Glyder",1
"2653","Glyn",1
"2654","Glyn y Marl",1
"2655","Glyn-coch",1
"2656","Glynneath Central and East",1
"2657","Gnosall & Woodseaves",1
"2658","Goat Hall",1
"2659","Goat Lees",1
"2660","Gobion Fawr",1
"2661","Godalming Binscombe & Charterhouse",1
"2662","Godalming Central & Ockford",1
"2663","Godalming Farncombe & Catteshall",1
"2664","Godalming Holloway",1
"2665","Godinton",1
"2666","Godmanchester & Hemingford Abbots",1
"2667","Godre'r Graig",1
"2668","Godstone",2
"2669","Goetre Fawr",1
"2670","Goffs Oak",2
"2671","Gogarth Mostyn",1
"2672","Gogledd Dolgellau",1
"2673","Gogledd Pwllheli",1
"2674","Golborne",1
"2675","Golborne & Lowton West",1
"2676","Golcar",1
"2677","Golden Valley North",1
"2678","Golden Valley South",1
"2679","Goldenhill & Sandyford",1
"2680","Golders Green",1
"2681","Goldington",1
"2682","Goldsmid",1
"2683","Goldsworth Park",1
"2684","Goodmayes",1
"2685","Goodrington with Roselands",1
"2686","Goodshaw & Cribden",1
"2687","Goodwick",1
"2688","Goodwood",1
"2689","Goole North",1
"2690","Goole South",1
"2691","Goose Green",1
"2692","Gooshays",2
"2693","Gordano Valley",1
"2694","Goresbrook",1
"2695","Goring",1
"2696","Gorleston",1
"2697","Gorllewin Porthmadog",1
"2698","Gorllewin Tywyn",1
"2699","Gornal",1
"2700","Gorrell",1
"2701","Gorse Hill & Cornbrook",2
"2702","Gorse Hill and Pinehurst",1
"2703","Gorseinon and Penyrheol",1
"2704","Gorslas",1
"2705","Gorton & Abbey Hey",1
"2706","Gosfield & Greenstead Green",1
"2707","Gosforth",1
"2708","Gosforth Valley",1
"2709","Gospel Oak",1
"2710","Gossops Green & North East Broadfield",1
"2711","Gotham",1
"2712","Gower",1
"2713","Gowerton",1
"2714","Gowy Rural",2
"2715","Graig",1
"2716","Graig and Pontypridd West",1
"2717","Graiseley",1
"2718","Grange",1
"2719","Grange & Alver Valley",1
"2720","Grange Farm",1
"2721","Grange Hill",2
"2722","Grange Park",1
"2723","Grange and Cartmel",1
"2724","Grangefield",1
"2725","Grangetown",2
"2726","Grantham Arnoldfield",1
"2727","Grantham Barrowby Gate",1
"2728","Grantham Earlesfield",1
"2729","Grantham Harrowby",1
"2730","Grantham Springfield",1
"2731","Grantham St Vincent's",1
"2732","Grantham St Wulfram's",1
"2733","Grappenhall",1
"2734","Grassendale & Cressington",1
"2735","Grassmoor",1
"2736","Graveley, St Ippolyts & Wymondley",1
"2737","Gravelly Hill",1
"2738","Graveney",1
"2739","Graves Park",1
"2740","Grays Riverside",4
"2741","Grays Thurrock",2
"2742","Grayshott",1
"2743","Greasbrough",1
"2744","Greasby, Frankby and Irby",1
"2745","Greasley",1
"2746","Great Amwell & Stansteads",1
"2747","Great Ashby",1
"2748","Great Ayton",1
"2749","Great Baddow East",1
"2750","Great Baddow West",1
"2751","Great Barford",1
"2752","Great Barr with Yew Tree",1
"2753","Great Boughton",1
"2754","Great Bridge",1
"2755","Great Chell & Packmoor",1
"2756","Great Cornard",1
"2757","Great Denham",1
"2758","Great Dunmow North",1
"2759","Great Dunmow South & Barnston",1
"2760","Great Eccleston",1
"2761","Great Hollands",1
"2762","Great Horton",1
"2763","Great Lever",1
