"","WARD_Name","injunctions_n"
"231","Ashford Common",1
"232","Ashford East",1
"233","Ashford North and Stanwell South",3
"234","Ashford Town",1
"235","Ashill",1
"236","Ashington Central",1
"237","Ashley",1
"238","Ashley, Bashley & Fernhill",1
"239","Ashover",1
"240","Ashridge",1
"241","Ashtead Lanes & Common",2
"242","Ashtead Park",1
"243","Ashton",1
"244","Ashton Hurst",1
"245","Ashton St Michael's",1
"246","Ashton Waterloo",1
"247","Ashton upon Mersey",1
"248","Ashton-in-Makerfield South",1
"249","Ashurst Wood & East Grinstead South",1
"250","Ashurst, Bramshaw, Copythorne & Netley Marsh",1
"251","Aspatria",1
"252","Aspley",1
"253","Aspley & Woburn",1
"254","Aspull, New Springs & Whelley",1
"255","Assington",1
"256","Astley",1
"257","Astley Bridge",1
"258","Aston",1
"259","Aston & Todwick",1
"260","Aston Clinton & Weston Turville",2
"261","Aston Fields",1
"262","Aston, Datchworth & Walkern",1
"263","Astwood Bank & Feckenham",1
"264","Atherstone Central",1
"265","Atherstone North",1
"266","Atherstone South and Mancetter",1
"267","Atherton North",1
"268","Atherton South & Lilford",1
"269","Attenborough & Chilwell East",1
"270","Attleborough",1
"271","Attleborough Burgh & Haverscroft",1
"272","Attleborough Queens & Besthorpe",1
"273","Audenshaw",1
"274","Audlem",1
"275","Audley",1
"276","Audley & Queen's Park",1
"277","Aughton & Holborn",1
"278","Aughton & Swallownest",1
"279","Ault Hucknall",1
"280","Auriol",1
"281","Aveland",1
"282","Aveley and Uplands",4
"283","Avenue",1
"284","Avon Valley",1
"285","Avoncroft",1
"286","Avondale Grange",1
"287","Avonmore",2
"288","Avonmouth and Lawrence Weston",3
"289","Awsworth Road",1
"290","Awsworth, Cossall & Trowell",1
"291","Axholme Central",1
"292","Axholme North",1
"293","Axholme South",1
"294","Axminster",1
"295","Aycliffe North & Middridge",1
"296","Aycliffe South",1
"297","Aylesbury East",1
"298","Aylesbury North",1
"299","Aylesbury North West",1
"300","Aylesbury South East",1
"301","Aylesbury South West",1
"302","Aylesbury West",1
"303","Aylesford & East Stour",1
"304","Aylesford North & North Downs",2
"305","Aylesford South & Ditton",1
"306","Aylesham, Eythorne & Shepherdswell",1
"307","Aylestone",1
"308","Aylestone Hill",1
"309","Aylsham",1
"310","Ayresome",1
"311","Bablake",1
"312","Backbury",1
"313","Backwell",1
"314","Backworth & Holystone",1
"315","Bacton",1
"316","Bacup",1
"317","Baddeley, Milton & Norton",1
"318","Baddesley and Grendon",1
"319","Badger Farm and Oliver's Battery",1
"320","Badgeworth",1
"321","Badsey & Aldington",1
"322","Baffins",1
"323","Bagillt",1
"324","Baglan",1
"325","Bagley",1
"326","Bagnall and Stanley",1
"327","Bagots & Needwood",1
"328","Bagshot",1
"329","Baguley",1
"330","Baildon",1
"331","Baird",1
"332","Bakewell",1
"333","Balby South",1
"334","Balderstone & Kirkholt",1
"335","Balderton North & Coddington",1
"336","Balderton South",1
"337","Baldock East",1
"338","Baldock West",1
"339","Baldwin",1
"340","Balham",1
"341","Ballard",1
"342","Balsall Heath West",1
"343","Balsham",1
"344","Bamber Bridge East",1
"345","Bamber Bridge West",1
"346","Bamburgh",1
"347","Bamford",1
"348","Bampton and Clanfield",1
"349","Banbury Calthorpe and Easington",1
"350","Banbury Cross and Neithrop",1
"351","Banbury Grimsbury and Hightown",1
"352","Banbury Hardwick",1
"353","Banbury Ruscote",1
"354","Bancroft",1
"355","Bandley Hill & Poplars",1
"356","Bangor Is-y-Coed",1
"357","Banister & Polygon",1
"358","Bank Hall",1
"359","Bank Top & Lascelles",1
"360","Bankfield",1
"361","Banstead Village",1
"362","Banwell & Winscombe",1
"363","Banwy, Llanfihangel and Llanwddyn",1
"364","Bar Hill",1
"365","Bardney",1
"366","Bardon",1
"367","Bardwell",1
"368","Bare",1
"369","Bargate",1
"370","Barkham & Arborfield",1
"371","Barking Riverside",1
"372","Barkingside",2
"373","Barlaston",1
"374","Barlborough",1
"375","Barlby & Riccall",1
"376","Barlestone, Nailstone and Osbaston",1
"377","Barleythorpe",1
"378","Barlow & Holmesfield",1
"379","Barming Heath & Teston",1
"380","Barms",1
"381","Barnack",1
"382","Barnard Castle",1
"383","Barnards Green",1
"384","Barnehurst",1
"385","Barnes",2
"386","Barnet Vale",1
"387","Barnfield",1
"388","Barnham",1
"389","Barnhill",1
"390","Barningham",1
"391","Barnoldswick",1
"392","Barnsbury",2
"393","Barnstaple Central",1
"394","Barnstaple with Pilton",1
"395","Barnstaple with Westacott",1
"396","Barnt Green & Hopwood",1
"397","Barnwood",1
"398","Barrington",1
"399","Barrow",1
"400","Barrow upon Soar",1
"401","Barrowford & Pendleside",1
"402","Bartley Green",1
"403","Barton",2
"404","Barton & Becton",1
"405","Barton & Sandhills",1
"406","Barton & Winton",1
"407","Barton Seagrave & Burton Latimer",2
"408","Barton and Tredworth",1
"409","Barton with Watcombe",1
"410","Barton-le-Clay & Silsoe",1
"411","Baruc",1
"412","Barwell",1
"413","Basford",1
"414","Basford & Hartshill",1
"415","Basildon",1
"416","Basing & Upton Grey",1
"417","Bassett",1
"418","Bassingbourn",1
"419","Bassingham Rural",1
"420","Bassishaw",1
"421","Bastwell & Daisyfield",1
"422","Baswich",1
"423","Batchley & Brockhill",1
"424","Batchwood",1
"425","Bathavon North",1
"426","Bathavon South",1
"427","Bathwick",1
"428","Batley East",1
"429","Batley West",1
"430","Battenhall",1
"431","Battersea Park",1
"432","Battisford & Ringshall",1
"433","Battle",1
"434","Battle Hill",1
"435","Battledown",1
"436","Battlefield",1
"437","Baxenden",1
"438","Baylis & Salt Hill",1
"439","Bayston Hill",1
"440","Bayswater",1
"441","Beach",1
"442","Beacon",1
"443","Beacon Road",1
"444","Beacon and Bents",1
"445","Beaconsfield",1
"446","Beam",2
"447","Beam Park",1
"448","Beaminster",1
"449","Bean & Village Park",1
"450","Bearsted & Downswood",1
"451","Bearwood & Merley",1
"452","Beauchief and Greenhill",1
"453","Beaufort",1
"454","Beaumont Leys",1
"455","Beaver",1
"456","Bebington",1
"457","Bebside & Kitty Brewster",1
"458","Beccles & Worlingham",1
"459","Beck Vale, Dickleburgh & Scole",1
"460","Beckenham Town & Copers Cope",1
"461","Beckingham",2
"462","Beckton",2
"463","Becontree",1
"464","Bedale",1
"465","Beddau and Tyn-y-nant",1
"466","Beddington",1
"467","Bede",1
"468","Bedfont",3
"469","Bedhampton",1
"470","Bedingfeld",1
"471","Bedlington Central",1
"472","Bedlington East",1
"473","Bedlington West",1
"474","Bedlinog and Trelewis",1
"475","Bedminster",1
"476","Bedwas and Trethomas",1
"477","Bedwell",1
"478","Beech Hill",1
"479","Beechwood",1
"480","Beechwood & Heath",1
"481","Beer & Branscombe",1
"482","Beeston & Holbeck",1
"483","Beeston Central",1
"484","Beeston North",1
"485","Beeston Regis & The Runtons",1
"486","Beeston Rylands",1
"487","Beeston West",1
"488","Beighton",1
"489","Belah",1
"490","Belbroughton & Romsley",1
"491","Belfairs",1
"492","Belgrave",1
"493","Belhus",2
"494","Belle Vale",1
"495","Belle Vue",1
"496","Bellfields & Slyfield",1
"497","Bellinger",1
"498","Bellingham",1
"499","Belmont",2
"500","Belmont Rural",1
"501","Belmore",1
"502","Belper East",1
"503","Belper North",1
"504","Belper South",1
"505","Belsize",1
"506","Beltinge",1
"507","Belvedere",1
"508","Belvoir",1
"509","Bembridge",1
"510","Benfieldside",1
"511","Bengeworth",1
"512","Benhall, the Reddings & Fiddler's Green",1
"513","Benn",1
"514","Bennetts End",1
"515","Bensham Manor",1
"516","Benson & Crowmarsh",1
"517","Bentham & Ingleton",1
"518","Bentilee, Ubberley & Townsend",1
"519","Bentley",1
"520","Bentley Heath & The Royds",1
"521","Bentley and Darlaston North",1
"522","Bentworth & Froyle",1
"523","Benwell & Scotswood",1
"524","Bere Ferrers",1
"525","Berechurch",1
"526","Berinsfield",1
"527","Berkeley Vale",1
"528","Berkhamsted Castle",1
"529","Berkhamsted East",1
"530","Berkhamsted West",1
"531","Bernards Heath",1
"532","Berridge",1
"533","Berriew and Castle Caereinion",1
"534","Berry Hill",1
"535","Berryfields, Buckingham Park & Watermead",1
"536","Berrylands",1
"537","Bersted",1
"538","Berwick East",1
"539","Berwick Hills & Pallister",1
"540","Berwick North",1
"541","Berwick West with Ord",1
"542","Bessacarr",1
"543","Besses",1
"544","Bestwood",1
"545","Bestwood St Albans",1
"546","Bethel a'r Felinheli",1
"547","Bethnal Green East",1
"548","Bethnal Green West",1
"549","Bettws",1
"550","Betws",1
"551","Betws-y-Coed and Trefriw",1
"552","Betws-yn-Rhos",1
"553","Beulah and Llangoedmor",1
"554","Beverley & Newland",1
"555","Beverley Rural",1
"556","Bevois",1
"557","Bewbush & North Broadfield",1
"558","Bewdley & Rock",1
"559","Bewsey and Whitecross",1
"560","Bexhill Central",1
"561","Bexhill Collington",1
"562","Bexhill Kewhurst",1
"563","Bexhill Old Town & Worsham",1
"564","Bexhill Pebsham & St Michaels",1
"565","Bexhill Sackville",1
"566","Bexhill Sidley",1
"567","Bexhill St Marks",1
